"Name","Set.Name","R","High","Med","Low"
"Cornered Crook","MKM","U",0.02,0.01,0.01
"Coveted Falcon","MKM","R",0.32,0.31,0.01
"Coveted Falcon (Extended Art)","MKM","R",0.65,0.55,0.1
"Crime Novelist","MKM","U",0.96,0.78,0.18
"Crimestopper Sprite","MKM","C",0.04,0.03,0.01
"Crowd-Control Warden","MKM","C",0.03,0.02,0.01
"Cryptex","MKM","R",0.12,0.11,0.01
"Cryptex (Extended Art)","MKM","R",0.31,0.29,0.02
"Cryptic Coat","MKM","R",0.46,0.41,0.05
"Cryptic Coat (Extended Art)","MKM","R",0.67,0.62,0.05
"Culvert Ambusher","MKM","U",0.23,0.22,0.01
"Culvert Ambusher (Showcase)","MKM","U",0.16,0.15,0.01
"Curious Cadaver","MKM","U",0.02,0.01,0.01
"Curious Cadaver (Showcase)","MKM","U",0.11,0.1,0.01
"Curious Inquiry","MKM","U",0.15,0.14,0.01
"Deadly Complication","MKM","U",0.06,0.05,0.01
"Deadly Complication (Showcase)","MKM","U",0.06,0.05,0.01
"Deadly Cover-Up","MKM","R",0.55,0.46,0.09
"Deadly Cover-Up (Extended Art)","MKM","R",0.4,0.25,0.15
"Deduce","MKM","C",0.15,0.14,0.01
"Deduce (Showcase)","MKM","C",0.25,0.24,0.01
"Defenestrated Phantom","MKM","C",0.06,0.05,0.01
"Delney, Streetwise Lookout","MKM","M",62.94,32.48,30.46
"Delney, Streetwise Lookout (Showcase)","MKM","M",57.4,30.9,26.5
"Delney, Streetwise Lookout (Showcase) (Invisible Ink)","MKM","M",68.18,42.99,25.19
"Demand Answers","MKM","C",0.59,0.43,0.16
"Demand Answers (Showcase)","MKM","C",0.59,0.54,0.05
"Detective // Bat Double-Sided Token","MKM","T",0.54,0.34,0.2
"Detective // Dog Double-Sided Token","MKM","T",0.33,0.24,0.09
"Detective // Goblin Double-Sided Token","MKM","T",0.07,0.04,0.03
"Detective // Human Double-Sided Token","MKM","T",0.28,0.23,0.05
"Detective // Imp Double-Sided Token","MKM","T",0.53,0.38,0.15
"Detective // Merfolk Double-Sided Token","MKM","T",0.36,0.29,0.07
"Detective // Ooze Double-Sided Token","MKM","T",0.57,0.3,0.27
"Detective // Plant Double-Sided Token","MKM","T",0.54,0.4,0.14
"Detective // Skeleton Double-Sided Token","MKM","T",0.62,0.49,0.13
"Detective // Spider Double-Sided Token","MKM","T",0.19,0.14,0.05
"Detective // Spirit Double-Sided Token","MKM","T",0.33,0.23,0.1
"Detective // Thopter (0019) Double-Sided Token","MKM","T",0.43,0.32,0.11
"Detective // Voja Fenstalker Double-Sided Token","MKM","T",0.37,0.22,0.15
"Detective Token","MKM","T",0.18,0.17,0.01
"Detective's Satchel","MKM","U",0.41,0.4,0.01
"Dog Token","MKM","T",0.34,0.3,0.04
"Dog Walker","MKM","C",0.06,0.05,0.01
"Doorkeeper Thrull","MKM","R",1.59,1.35,0.24
"Doorkeeper Thrull (Showcase)","MKM","R",1.26,1.03,0.23
"Doppelgang","MKM","R",0.93,0.73,0.2
"Doppelgang (Extended Art)","MKM","R",1.91,1.66,0.25
"Drag the Canal","MKM","R",0.29,0.28,0.01
"Drag the Canal (Extended Art)","MKM","R",0.31,0.3,0.01
"Dramatic Accusation","MKM","C",0.14,0.13,0.01
"Dramatic Accusation (Showcase)","MKM","C",0.02,0.01,0.01
"Due Diligence","MKM","C",0.07,0.06,0.01
"Elegant Parlor","MKM","R",12.99,6.99,6
"Elegant Parlor (Borderless)","MKM","R",28.18,18.68,9.5
"Eliminate the Impossible","MKM","U",0.04,0.03,0.01
"Escape Tunnel","MKM","C",0.41,0.36,0.05
"Essence of Antiquity","MKM","U",0.17,0.16,0.01
"Etrata, Deadly Fugitive","MKM","M",1.02,0.93,0.09
"Etrata, Deadly Fugitive (Showcase)","MKM","M",0.77,0.68,0.09
"Etrata, Deadly Fugitive (Showcase) (Invisible Ink)","MKM","M",5.06,3.31,1.75
"Evidence Examiner","MKM","U",0.03,0.02,0.01
"Exit Specialist","MKM","U",0.41,0.4,0.01
"Expedited Inheritance","MKM","M",0.41,0.35,0.06
"Expedited Inheritance (Extended Art)","MKM","M",0.88,0.73,0.15
"Expose the Culprit","MKM","U",0.25,0.24,0.01
"Expose the Culprit (Showcase)","MKM","U",0.13,0.12,0.01
"Extract a Confession","MKM","C",0.21,0.2,0.01
"Ezrim, Agency Chief","MKM","R",0.15,0.11,0.04
"Ezrim, Agency Chief (Showcase)","MKM","R",0.29,0.25,0.04
"Fae Flight","MKM","U",0.23,0.22,0.01
"Fae Flight (Showcase)","MKM","U",0.15,0.14,0.01
"Faerie Snoop","MKM","C",0.02,0.01,0.01
"Fanatical Strength","MKM","C",0.1,0.09,0.01
"Fanatical Strength (Showcase)","MKM","C",0.23,0.22,0.01
"Felonious Rage","MKM","C",0.27,0.26,0.01
"Festerleech","MKM","U",0.09,0.08,0.01
"Flotsam // Jetsam","MKM","U",0.35,0.34,0.01
"Flourishing Bloom-Kin","MKM","U",0.26,0.25,0.01
"Forensic Gadgeteer","MKM","R",3.18,2.18,1
"Forensic Gadgeteer (Showcase)","MKM","R",2.8,2.13,0.67
"Forensic Researcher","MKM","U",0.25,0.24,0.01
"Forest (0276)","MKM","L",0.29,0.25,0.04
"Forest (0285)","MKM","L",0.16,0.15,0.01
"Forest (0286)","MKM","L",0.08,0.06,0.02
"Forum Familiar","MKM","U",0.1,0.09,0.01
"Frantic Scapegoat","MKM","U",0.11,0.1,0.01
"Frantic Scapegoat (Showcase)","MKM","U",0.22,0.21,0.01
"Fugitive Codebreaker","MKM","R",0.26,0.22,0.04
"Fugitive Codebreaker (Showcase)","MKM","R",0.32,0.29,0.03
"Furtive Courier","MKM","U",0.02,0.01,0.01
"Fuss // Bother","MKM","U",0.07,0.06,0.01
"Gadget Technician","MKM","C",0.02,0.01,0.01
"Galvanize","MKM","C",0.16,0.15,0.01
"Gearbane Orangutan","MKM","C",0.17,0.16,0.01
"Get a Leg Up","MKM","U",0.35,0.34,0.01
"Gleaming Geardrake","MKM","U",0.17,0.16,0.01
"Gleaming Geardrake (Showcase)","MKM","U",0.34,0.33,0.01
"Glint Weaver","MKM","U",0.13,0.12,0.01
"Goblin Maskmaker","MKM","C",0.27,0.26,0.01
"Goblin Token","MKM","T",0.38,0.3,0.08
"Granite Witness","MKM","C",0.03,0.02,0.01
"Gravestone Strider","MKM","C",0.02,0.01,0.01
"Greenbelt Radical","MKM","U",0.26,0.25,0.01
"Griffnaut Tracker","MKM","C",0.02,0.01,0.01
"Haazda Vigilante","MKM","C",0.02,0.01,0.01
"Hard-Hitting Question","MKM","U",0.33,0.27,0.06
"Harried Dronesmith","MKM","U",0.14,0.13,0.01
"Hedge Maze","MKM","R",19.21,10.21,9
"Hedge Maze (Borderless)","MKM","R",37.18,26.18,11
"Hedge Whisperer","MKM","U",0.02,0.01,0.01
"Hide in Plain Sight","MKM","R",0.16,0.13,0.03
"Hide in Plain Sight (Extended Art)","MKM","R",0.29,0.27,0.02
"Homicide Investigator","MKM","R",0.14,0.11,0.03
"Homicide Investigator (Showcase)","MKM","R",0.54,0.53,0.01
"Hotshot Investigators","MKM","C",0.04,0.03,0.01
"Human Token","MKM","T",0.32,0.27,0.05
"Hunted Bonebrute","MKM","R",0.36,0.31,0.05
"Hunted Bonebrute (Extended Art)","MKM","R",0.53,0.43,0.1
"Hustle // Bustle","MKM","U",0.02,0.01,0.01
"Ill-Timed Explosion","MKM","R",0.48,0.4,0.08
"Ill-Timed Explosion (Extended Art)","MKM","R",0.52,0.43,0.09
"Illicit Masquerade","MKM","R",0.41,0.37,0.04
"Illicit Masquerade (Extended Art)","MKM","R",0.36,0.34,0.02
"Imp Token","MKM","T",0.5,0.37,0.13
"Incinerator of the Guilty","MKM","M",1.28,0.88,0.4
"Incinerator of the Guilty (Showcase)","MKM","M",0.77,0.56,0.21
"Incinerator of the Guilty (Showcase) (Invisible Ink)","MKM","M",3.01,2.02,0.99
"Innocent Bystander","MKM","C",0.07,0.06,0.01
"Inside Source","MKM","C",0.1,0.09,0.01
"Insidious Roots","MKM","U",8.74,7.99,0.75
"Insidious Roots (Showcase)","MKM","U",2.5,2.05,0.45
"Intrude on the Mind","MKM","M",0.61,0.53,0.08
"Intrude on the Mind (Showcase)","MKM","M",0.67,0.6,0.07
"Island (0273)","MKM","L",0.56,0.48,0.08
"Island (0279)","MKM","L",0.11,0.08,0.03
"Island (0280)","MKM","L",0.1,0.08,0.02
"It Doesn't Add Up","MKM","U",0.19,0.18,0.01
"It Doesn't Add Up (Showcase)","MKM","U",0.11,0.1,0.01
"Izoni, Center of the Web","MKM","R",0.26,0.24,0.02
"Izoni, Center of the Web (Showcase)","MKM","R",0.12,0.07,0.05
"Jaded Analyst","MKM","C",0.05,0.04,0.01
"Judith, Carnage Connoisseur","MKM","R",0.5,0.41,0.09
"Judith, Carnage Connoisseur (Showcase)","MKM","R",0.89,0.74,0.15
"Karlov Watchdog","MKM","U",0.08,0.07,0.01
"Kaya, Spirits' Justice","MKM","M",0.59,0.48,0.11
"Kaya, Spirits' Justice (Borderless)","MKM","M",1.15,0.95,0.2
"Kellan, Inquisitive Prodigy","MKM","R",0.51,0.43,0.08
"Kellan, Inquisitive Prodigy (Borderless)","MKM","R",0.64,0.55,0.09
"Knife","MKM","U",0.08,0.07,0.01
"Kraul Whipcracker (a)","MKM","U",0.03,0.02,0.01
"Kraul Whipcracker (b)","MKM","U",0.09,0.08,0.01
"Kraul Whipcracker (Showcase)","MKM","U",0.03,0.02,0.01
"Krenko's Buzzcrusher","MKM","R",0.29,0.25,0.04
"Krenko's Buzzcrusher (Extended Art)","MKM","R",0.44,0.39,0.05
"Krenko, Baron of Tin Street","MKM","R",0.43,0.38,0.05
"Krenko, Baron of Tin Street (Showcase)","MKM","R",0.33,0.32,0.01
"Krovod Haunch","MKM","U",0.22,0.21,0.01
"Kylox's Voltstrider","MKM","M",0.28,0.23,0.05
"Kylox's Voltstrider (Extended Art)","MKM","M",0.68,0.63,0.05
"Kylox, Visionary Inventor","MKM","R",0.21,0.2,0.01
"Kylox, Visionary Inventor (Showcase)","MKM","R",0.58,0.54,0.04
"Lamplight Phoenix","MKM","R",0.13,0.12,0.01
"Lamplight Phoenix (Extended Art)","MKM","R",0.21,0.2,0.01
