"Name","Set.Name","R","High","Med","Low"
"Treacherous Greed (Extended Art)","MKM","R",0.43,0.38,0.05
"Trostani, Three Whispers","MKM","M",0.78,0.67,0.11
"Trostani, Three Whispers (Showcase) (0322)","MKM","M",3.62,2.62,1
"Trostani, Three Whispers (Showcase) (0372)","MKM","M",0.68,0.63,0.05
"Trostani, Three Whispers (Showcase) (Invisible Ink)","MKM","M",3.35,1.85,1.5
"Tunnel Tipster","MKM","C",0.13,0.12,0.01
"Unauthorized Exit","MKM","C",0.1,0.09,0.01
"Unauthorized Exit (Showcase)","MKM","C",0.16,0.15,0.01
"Undercity Eliminator","MKM","U",0.46,0.45,0.01
"Undercity Sewers","MKM","R",36.05,21.05,15
"Undercity Sewers (Borderless)","MKM","R",66.91,43.92,22.99
"Undercover Crocodelf (a)","MKM","C",0.02,0.01,0.01
"Undercover Crocodelf (b)","MKM","C",0.02,0.01,0.01
"Underground Mortuary","MKM","R",15.78,10.72,5.06
"Underground Mortuary (Borderless)","MKM","R",38.81,23,15.81
"Undergrowth Recon","MKM","M",3.67,2.42,1.25
"Undergrowth Recon (Extended Art)","MKM","M",4.6,2.85,1.75
"Unscrupulous Agent","MKM","C",0.16,0.15,0.01
"Unyielding Gatekeeper","MKM","R",0.28,0.26,0.02
"Unyielding Gatekeeper (Extended Art)","MKM","R",0.33,0.32,0.01
"Urgent Necropsy","MKM","M",0.37,0.32,0.05
"Urgent Necropsy (Extended Art)","MKM","M",0.63,0.48,0.15
"Vannifar, Evolved Enigma","MKM","M",1.35,1.21,0.14
"Vannifar, Evolved Enigma (Showcase) (0323)","MKM","M",6.25,5.25,1
"Vannifar, Evolved Enigma (Showcase) (0373)","MKM","M",1.03,0.78,0.25
"Vannifar, Evolved Enigma (Showcase) (Invisible Ink)","MKM","M",2.94,1.74,1.2
"Vein Ripper","MKM","M",12.14,6.25,5.89
"Vein Ripper (Showcase)","MKM","M",11.73,6.75,4.98
"Vein Ripper (Showcase) (Invisible Ink)","MKM","M",20.21,10.45,9.76
"Vengeful Creeper","MKM","C",0.04,0.03,0.01
"Vengeful Tracker","MKM","U",0.13,0.12,0.01
"Vitu-Ghazi Inspector","MKM","C",0.11,0.1,0.01
"Voja Fenstalker Token","MKM","T",0.28,0.23,0.05
"Warleader's Call","MKM","R",4.59,3.59,1
"Warleader's Call (Showcase)","MKM","R",13.35,8.55,4.8
"Wispdrinker Vampire","MKM","U",0.37,0.36,0.01
"Wispdrinker Vampire (Showcase)","MKM","U",0.28,0.27,0.01
"Wojek Investigator (a)","MKM","R",0.51,0.46,0.05
"Wojek Investigator (b)","MKM","R",0.55,0.53,0.02
"Wojek Investigator (Showcase)","MKM","R",0.45,0.4,0.05
"Worldsoul's Rage","MKM","R",0.51,0.43,0.08
"Worldsoul's Rage (Showcase)","MKM","R",1.95,1.75,0.2
"Wrench","MKM","U",0.09,0.08,0.01
"Yarus, Roar of the Old Gods","MKM","R",0.37,0.36,0.01
"Yarus, Roar of the Old Gods (Showcase)","MKM","R",0.36,0.31,0.05
