"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","barrel"
"SI",2020-09-26,98.4,-2.62,5.14,"Castro, Miguel",543228,612434,NA,"ball",NA,NA,NA,NA,11,"Yan Gomes singles on a ground ball to center fielder Guillermo Heredia.   Brock Holt to 3rd.","R","R","R","WSH","NYM","B",NA,NA,0,0,2020,-1.28,1.06,-0.87,3.16,NA,NA,571788,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,7.74669567290228,-143.059116455553,-2.39949452161484,-19.3186585097595,32.9800348147122,-17.198361279231,3.13,1.39,NA,NA,NA,99,2402,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.62,NA,NA,NA,NA,NA,NA,NA,50,1,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",241,0,0.039,NA
"SL",2020-09-26,88.4,-2.87,5.12,"Castro, Miguel",571788,612434,"walk","blocked_ball",NA,NA,NA,NA,14,"Brock Holt walks.","R","L","R","WSH","NYM","B",NA,NA,3,2,2020,0.34,0.09,2.14,0.63,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,11.5161390969986,-128.217987816828,-5.07812985969431,1.5244907487549,25.5013487209642,-30.3009936824156,3.27,1.43,NA,NA,NA,88.8,2803,6.6,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.87,NA,NA,0.7,1,0,0,NA,49,6,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",205,0.064,0.332,NA
"SL",2020-09-26,89.1,-2.94,5.17,"Castro, Miguel",571788,612434,NA,"ball",NA,NA,NA,NA,9,"Brock Holt walks.","R","L","R","WSH","NYM","B",NA,NA,2,2,2020,0.33,0.15,0.78,1.94,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,8.45298087977771,-129.570441727535,-2.25248571837805,2.03602540286441,25.5647923060565,-30.2113794156297,3.27,1.51,NA,NA,NA,89.5,2861,6.4,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.94,NA,NA,NA,NA,NA,NA,NA,49,5,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",269,0,0.103,NA
"SI",2020-09-26,99.3,-2.77,5.19,"Castro, Miguel",571788,612434,NA,"foul_tip",NA,NA,NA,NA,13,"Brock Holt walks.","R","L","R","WSH","NYM","S",NA,NA,2,1,2020,-1.58,0.83,-0.97,1.84,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,8.67806941395381,-144.264710756916,-5.72178829437711,-24.0900729450699,32.9966772414971,-19.4328728604725,3.18,1.54,NA,NA,NA,99.9,2470,6.7,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.77,NA,NA,NA,NA,NA,NA,NA,49,4,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",243,0,-0.076,NA
"SI",2020-09-26,98.5,-2.71,5.15,"Castro, Miguel",571788,612434,NA,"foul",NA,NA,NA,NA,5,"Brock Holt walks.","R","L","R","WSH","NYM","S",NA,NA,2,0,2020,-1.61,0.85,-0.03,2.22,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,11.0900121112491,-142.962323945726,-4.46332240247518,-24.7161347154204,34.6186377938327,-19.6084646555359,3.18,1.54,NA,NA,NA,98.9,2333,6.8,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.71,NA,NA,NA,NA,NA,NA,NA,49,3,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",246,0,-0.059,NA
"SL",2020-09-26,87.5,-2.94,5.25,"Castro, Miguel",571788,612434,NA,"ball",NA,NA,NA,NA,14,"Brock Holt walks.","R","L","R","WSH","NYM","B",NA,NA,1,0,2020,0.32,0.19,1.15,1.82,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,9.21236822079784,-127.261381017414,-2.59791672451165,1.85718994239338,22.2529342263587,-29.7645802158839,3.37,1.53,NA,NA,NA,88.1,2969,6.4,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-2.94,NA,NA,NA,NA,NA,NA,NA,49,2,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",245,0,0.06,NA
"SI",2020-09-26,98.6,-3.33,5.18,"Castro, Miguel",571788,612434,NA,"ball",NA,NA,NA,NA,11,"Brock Holt walks.","R","L","R","WSH","NYM","B",NA,NA,0,0,2020,-1.5,0.6,-2.18,2.81,NA,NA,NA,0,6,"Bot",NA,NA,NA,NA,467092,NA,NA,6.66447253952899,-143.488578111718,-2.43711311879669,-22.3263384094982,31.2962511756897,-23.5305332877975,3.41,1.46,NA,NA,NA,99.3,2271,6.6,630895,612434,467092,624413,643446,641645,642708,642086,628338,607043,-3.33,NA,NA,NA,NA,NA,NA,NA,49,1,"Sinker",3,3,3,3,3,3,3,3,"Standard","Standard",250,0,0.041,NA
"SL",2020-09-23,88.4,-2.55,5.06,"Castro, Miguel",572287,612434,"field_out","hit_into_play",NA,NA,NA,NA,7,"Mike Zunino grounds out softly, pitcher Miguel Castro to first baseman Pete Alonso.","R","R","R","NYM","TB","X",1,"ground_ball",0,2,2020,0.15,0.55,-0.49,1.96,NA,642715,NA,2,7,"Top",124.86,195.21,NA,NA,467092,NA,NA,4.71831685061141,-128.87908220698,-2.74738181510577,0.868308767980316,23.2015150579346,-25.6195309299869,3.17,1.49,1,41.7,-65,89.1,2734,6.3,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.55,0.2,0.18,0,1,0,0,1,49,3,"Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard",283,0.025,-0.205,0
"SL",2020-09-23,88.7,-2.53,5.05,"Castro, Miguel",572287,612434,NA,"swinging_strike",NA,NA,NA,NA,9,"Mike Zunino grounds out softly, pitcher Miguel Castro to first baseman Pete Alonso.","R","R","R","NYM","TB","S",NA,NA,0,1,2020,0.56,-0.12,0.51,1.37,NA,642715,NA,2,7,"Top",NA,NA,NA,NA,467092,NA,NA,6.29717338867874,-129.040165844123,-2.69726292989993,4.97262159807242,26.6490035128779,-33.1400706938107,3.17,1.49,NA,NA,NA,89.3,2895,6.6,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.53,NA,NA,NA,NA,NA,NA,NA,49,2,"Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard",253,0,-0.076,NA
"SL",2020-09-23,91.2,-2.71,4.93,"Castro, Miguel",572287,612434,NA,"swinging_strike",NA,NA,NA,NA,14,"Mike Zunino grounds out softly, pitcher Miguel Castro to first baseman Pete Alonso.","R","R","R","NYM","TB","S",NA,NA,0,0,2020,-0.13,0.15,0.85,0.72,NA,642715,NA,2,7,"Top",NA,NA,NA,NA,467092,NA,NA,9.23977882438058,-132.514149926459,-5.04720449373853,-3.3634866966033,27.0024530715394,-29.4986982521121,3.17,1.49,NA,NA,NA,91.6,2908,6.5,631218,612434,467092,624413,429664,453943,665926,642086,607043,643446,-2.71,NA,NA,NA,NA,NA,NA,NA,49,1,"Slider",2,4,4,2,4,2,4,2,"Infield shift","Standard",240,0,-0.051,NA
