"SKU","Shape","Carat","Clarity","Color","Polish","Symmetry","Fluorescence","Measurements","Lab","Cut","x","y","z","price","listingURL","imgURL","priceClean"
"sku_106122 ","Cushion",0.8,"VS1","FALSE","Excellent","Very Good","None","5.21x4.98x3.57","GIA",NA,5.21,4.98,3.57,"$2,158.00","https://diamondsdirect.com/cushion-0-8-f-vs1-106122/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78756/images/82093/220313-186__75846.1675321477.220.290.jpg?c=1",2158
"sku_99133 ","Princess",0.8,"SI2","J","Excellent","Excellent","None","5.15x5.04x3.66","GIA",NA,5.15,5.04,3.66,"$1,418.00","https://diamondsdirect.com/princess-0-8-j-si2-99133/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/72430/images/75786/222189-93__02116.1675332833.220.290.jpg?c=1",1418
"sku_106157 ","Cushion",0.8,"VVS2","G","Excellent","Excellent","None","5.24x5.10x3.56","GIA",NA,5.24,5.1,3.56,"$2,252.00","https://diamondsdirect.com/cushion-0-8-g-vvs2-106157/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79380/images/82715/220528-57__33291.1675327858.220.290.jpg?c=1",2252
"sku_153185 ","Round",0.5,"VVS2","J","Excellent","Excellent","None","5.12-5.14x3.11","GIA","Excellent",5.12,5.14,3.11,"$1,362.00","https://diamondsdirect.com/round-0-5-j-vvs2-153185/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/141095/images/154098/223625-2067__02344.1675762345.220.290.jpg?c=1",1362
"sku_106247 ","Cushion",0.8,"VS2","I","Excellent","Excellent","Faint","5.51x4.99x3.46","GIA",NA,5.51,4.99,3.46,"$1,436.00","https://diamondsdirect.com/cushion-0-8-i-vs2-106247/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/99337/images/102582/222129-1148__69273.1675331792.220.290.jpg?c=1",1436
"sku_76614 ","Round",0.8,"VS2","K","Excellent","Excellent","None","5.75-5.78x3.69","GIA","Very Good",5.75,5.78,3.69,"$2,001.00","https://diamondsdirect.com/round-0-8-k-vs2-76614/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/72156/images/75515/222229-549__14782.1675331611.220.290.jpg?c=1",2001
"sku_106139 ","Cushion",0.8,"VS2","FALSE","Excellent","Very Good","Strong","5.29x5.07x3.45","GIA",NA,5.29,5.07,3.45,"$1,801.00","https://diamondsdirect.com/cushion-0-8-f-vs2-106139/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/97730/images/100990/222092-387__33116.1675334583.220.290.jpg?c=1",1801
"sku_106090 ","Cushion",0.8,"VS1","E","Excellent","Very Good","Medium","5.63x4.86x3.30","GIA",NA,5.63,4.86,3.3,"$2,071.00","https://diamondsdirect.com/cushion-0-8-e-vs1-106090/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78670/images/82006/223437-491__83885.1675325246.220.290.jpg?c=1",2071
"sku_106282 ","Cushion",0.8,"VVS1","L","Excellent","Excellent","None","5.24x5.21x3.52","GIA",NA,5.24,5.21,3.52,"$1,145.00","https://diamondsdirect.com/cushion-0-8-l-vvs1-106282/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/99090/images/102336/221098-378__95141.1675320178.220.290.jpg?c=1",1145
"sku_94101 ","Oval",0.8,"SI1","FALSE","Excellent","Very Good","Strong","7.13x5.29x3.36","GIA",NA,7.13,5.29,3.36,"$2,157.00","https://diamondsdirect.com/oval-0-8-f-si1-94101/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/66958/images/70346/220360-355__77924.1675310517.220.290.jpg?c=1",2157
"sku_123848 ","Oval",0.8,"VS2","I","Excellent","Very Good","Strong","6.95-5.18x3.29","GIA",NA,6.95,5.18,3.29,"$1,997.00","https://diamondsdirect.com/oval-0-8-i-vs2-123848/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/109586/images/117068/220732-315__05872.1675334717.220.290.jpg?c=1",1997
